path	archive_path	bytes	sha256	modified_local	extension	top_area	date	experiment_ids	role	evidence_level	data_stage	lifecycle	canonicality	all_data_included	artifact_included	duplicate_group_size	notes
.git/COMMIT_EDITMSG		24	1F427B5E83671DA0D14010E191613BB2360A158BA188CA8632F945FA79C3953A	2026-08-27T18:20:34+09:00	[none]	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	1	
.git/config		560	0EE86373BF68AFC37A725589637FCA27AC5BB4939B17D718B3277418DBAE6CDC	2026-08-27T18:21:01+09:00	[none]	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	1	
.git/description		73	85AB6C163D43A17EA9CF7788308BCA1466F1B0A8D1CC92E26E9BF63DA4062AEE	2026-08-27T18:20:27+09:00	[none]	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	5	same-content group size=5
.git/HEAD		21	28D25BF82AF4C0E2B72F50959B2BEB859E3E60B9630A5E8C603DAD4DDB2B6E80	2026-08-27T18:20:27+09:00	[none]	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	2	same-content group size=2
.git/hooks/applypatch-msg.sample		478	0223497A0B8B033AA58A3A521B8629869386CF7AB0E2F101963D328AA62193F7	2026-08-27T18:20:27+09:00	.sample	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	5	same-content group size=5
.git/hooks/commit-msg.sample		1972	EFC1401B0E99D1FF51494D154D98B46C1E99059BCD8BF9F73CECDE19FD3EB23B	2026-08-27T18:20:27+09:00	.sample	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	5	same-content group size=5
.git/hooks/fsmonitor-watchman.sample		4611	9159720099AD5595B8E66645CBFD47763C1E920F46E0B50AE75E642BBEC57EF0	2026-08-27T18:20:27+09:00	.sample	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	5	same-content group size=5
.git/hooks/post-update.sample		189	81765AF2DAEF323061DCBC5E61FC16481CB74B3BAC9AD8A174B186523586F6C5	2026-08-27T18:20:27+09:00	.sample	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	5	same-content group size=5
.git/hooks/pre-applypatch.sample		424	E15C5B469EA3E0A695BEA6F2C82BCF8E62821074939DDD85B77E0007FF165475	2026-08-27T18:20:27+09:00	.sample	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	5	same-content group size=5
.git/hooks/pre-commit.sample		1649	57185B7B9F05239D7AB52DB045F5B89EB31348D7B2177EAB214F5EB872E1971B	2026-08-27T18:20:27+09:00	.sample	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	5	same-content group size=5
.git/hooks/pre-merge-commit.sample		416	D3825A70337940EBBD0A5C072984E13245920CDF8898BD225C8D27A6DFC9CB53	2026-08-27T18:20:27+09:00	.sample	.git			vcs_metadata	V-vcs	metadata	metadata	metadata	N	N	5	same-content group size=5
